climate_id,weather_id,jday,date,hour,srad,wind,RH,rain,tmax,tmin,temperature,CO2
Rahuri,rhr2002,51,2/20/2002,,20.66,8.1,59.5,0,29.3,15.8,,
Rahuri,rhr2002,52,2/21/2002,,21.73,7.5,51.5,0,32.8,14.4,,
Rahuri,rhr2002,53,2/22/2002,,21.76,7.3,46.5,0,32.4,15.1,,
Rahuri,rhr2002,54,2/23/2002,,21.37,7.2,39.5,0,35.45,19,,
Rahuri,rhr2002,55,2/24/2002,,20.47,8.6,45,0,34.1,14.5,,
Rahuri,rhr2002,56,2/25/2002,,22.09,7.6,53.5,0,31.9,12.8,,
Rahuri,rhr2002,57,2/26/2002,,22.01,9.3,57.5,0,29.9,13.3,,
Rahuri,rhr2002,58,2/27/2002,,21.75,10,49,0,32,13.5,,
Rahuri,rhr2002,59,2/28/2002,,22.57,9.8,51,0,30.6,13.3,,
Rahuri,rhr2002,60,3/1/2002,,22.73,8.3,48,0,32.9,13.7,,
Rahuri,rhr2002,61,3/2/2002,,22.58,8.2,46.5,0,29.9,13.5,,
Rahuri,rhr2002,62,3/3/2002,,23.47,8.1,46.5,0,33.1,14.9,,
Rahuri,rhr2002,63,3/4/2002,,23.75,9.9,42.5,0,32.1,13.3,,
Rahuri,rhr2002,64,3/5/2002,,23.23,9.8,48,0,32,13.4,,
Rahuri,rhr2002,65,3/6/2002,,23.37,8.4,43,0,33.9,14.8,,
Rahuri,rhr2002,66,3/7/2002,,22.78,9.8,42,0,34.1,13.1,,
Rahuri,rhr2002,67,3/8/2002,,22.48,8.4,32.5,0,33.6,12.7,,
Rahuri,rhr2002,68,3/9/2002,,23.79,9.2,38,0,32.9,12.5,,
Rahuri,rhr2002,69,3/10/2002,,23.77,9.6,36.5,0,34.7,14.4,,
Rahuri,rhr2002,70,3/11/2002,,22.78,11.1,28,0,33.9,16.3,,
Rahuri,rhr2002,71,3/12/2002,,18.31,10.6,36.5,0,35.1,16.1,,
Rahuri,rhr2002,72,3/13/2002,,16.04,10.6,31,0,34.1,18.8,,
Rahuri,rhr2002,73,3/14/2002,,11.9,9.8,40,0,30.4,19.9,,
Rahuri,rhr2002,74,3/15/2002,,23.1,9.7,39,0,29,13.6,,
Rahuri,rhr2002,75,3/16/2002,,22.06,10.1,57.5,0,31.1,14.9,,
Rahuri,rhr2002,76,3/17/2002,,23.97,9.4,36,0,32.9,15.5,,
Rahuri,rhr2002,77,3/18/2002,,22.89,11.7,39.5,0,34.4,19.51,,
Rahuri,rhr2002,78,3/19/2002,,24.9,11.6,36.5,0,36.1,14.8,,
Rahuri,rhr2002,79,3/20/2002,,22.78,9.7,39.5,0,36.1,16.7,,
Rahuri,rhr2002,80,3/21/2002,,19.08,9.6,37,0.02,37.86,20.01,,
Rahuri,rhr2002,81,3/22/2002,,24.45,11.5,34.5,0,34.9,17.4,,
Rahuri,rhr2002,82,3/23/2002,,24.69,10.3,41.5,0,35.3,14.4,,
Rahuri,rhr2002,83,3/24/2002,,24.93,6,33.5,0,36.9,16.4,,
Rahuri,rhr2002,84,3/25/2002,,25.21,10.4,18.5,0,35.9,15.4,,
Rahuri,rhr2002,85,3/26/2002,,25.37,9.7,37,0,36.4,13.7,,
Rahuri,rhr2002,86,3/27/2002,,25.35,9,41,0,35.5,13.3,,
Rahuri,rhr2002,87,3/28/2002,,26.08,14.9,39,0,38.51,17.37,,
Rahuri,rhr2002,88,3/29/2002,,25.48,18.4,39,0,35.7,17.5,,
Rahuri,rhr2002,89,3/30/2002,,26.29,15.9,32.5,0,36.3,16.4,,
Rahuri,rhr2002,90,3/31/2002,,25.78,8.7,36.5,0,37.3,17,,
Rahuri,rhr2002,91,4/1/2002,,26.64,8.8,34,0,37.1,17.2,,
Rahuri,rhr2002,92,4/2/2002,,25.91,10.1,31,0,37.6,16.1,,
Rahuri,rhr2002,93,4/3/2002,,26.15,12.6,34.5,0,37.4,19.87,,
Rahuri,rhr2002,94,4/4/2002,,25.51,12,37,0,39.15,19.06,,
Rahuri,rhr2002,95,4/5/2002,,25.07,10.1,40.5,10.2,36.9,18.4,,
Rahuri,rhr2002,96,4/6/2002,,21.94,10.1,46,5.2,38.7,22.8,,
Rahuri,rhr2002,97,4/7/2002,,24.02,11.2,42.5,0.8,37.5,20.3,,
Rahuri,rhr2002,98,4/8/2002,,24.3,11.4,63.5,0,33.7,20.4,,
Rahuri,rhr2002,99,4/9/2002,,25.3,10.9,58.5,0,34.4,18.2,,
Rahuri,rhr2002,100,4/10/2002,,26.62,10.5,54.5,0,34.7,18.5,,
Rahuri,rhr2002,101,4/11/2002,,26.5,11.4,48,0,38.4,19.86,,
Rahuri,rhr2002,102,4/12/2002,,26.56,14.6,28,0,37.2,20.01,,
Rahuri,rhr2002,103,4/13/2002,,26.26,14.8,27,0,37.9,18.1,,
Rahuri,rhr2002,104,4/14/2002,,25.73,15.2,32,0,38.2,17.9,,
Rahuri,rhr2002,105,4/15/2002,,26.39,12.6,40.5,0,37.5,18.9,,
Rahuri,rhr2002,106,4/16/2002,,24.85,12.3,32,0,38.3,23.9,,
Rahuri,rhr2002,107,4/17/2002,,20.76,10.7,34.5,0,39.1,22.3,,
Rahuri,rhr2002,108,4/18/2002,,21.87,10.8,32,0,40.21,24.48,,
Rahuri,rhr2002,109,4/19/2002,,21.96,11.6,33,0,38.2,25.3,,
Rahuri,rhr2002,110,4/20/2002,,14.43,11.4,32,0,38.7,27.1,,
Rahuri,rhr2002,111,4/21/2002,,23.82,11.9,37.5,0,37.4,22.2,,
Rahuri,rhr2002,112,4/22/2002,,22.46,12.9,34,0,39.4,21.9,,
Rahuri,rhr2002,113,4/23/2002,,28.14,14.6,32.5,0,38.7,22.51,,
Rahuri,rhr2002,114,4/24/2002,,27.74,15.9,35,0,38.2,18.4,,
Rahuri,rhr2002,115,4/25/2002,,27.62,15.2,29.5,0,39.9,22.14,,
Rahuri,rhr2002,116,4/26/2002,,27.69,14.2,25.5,0,37.7,19.6,,
Rahuri,rhr2002,117,4/27/2002,,27.33,15.7,34.5,0,41.8,19.1,,
Rahuri,rhr2002,118,4/28/2002,,27.34,16,35.5,0,40,18.7,,
Rahuri,rhr2002,119,4/29/2002,,25.01,15.9,40.5,0,38.5,21.72,,
Rahuri,rhr2002,120,4/30/2002,,25.35,16,21,0,42.77,19,,
Rahuri,rhr2002,121,5/1/2002,,25.99,1.8,39,0,42,25.1,,
Rahuri,rhr2002,122,5/2/2002,,26.45,16.3,37,0,42.5,22.1,,
Rahuri,rhr2002,123,5/3/2002,,25.23,14.3,30.5,0,42.6,25.4,,
Rahuri,rhr2002,124,5/4/2002,,27.62,13.4,30.5,0,43,25.5,,
Rahuri,rhr2002,125,5/5/2002,,27.04,13.6,20.5,0,43.7,25.8,,
Rahuri,rhr2002,126,5/6/2002,,26.12,13.5,46,0,42,25.1,,
Rahuri,rhr2002,127,5/7/2002,,24.38,13.4,40.5,0,41.1,24.1,,
Rahuri,rhr2002,128,5/8/2002,,26.03,13.8,49,0,39.4,24,,
Rahuri,rhr2002,129,5/9/2002,,25.01,12.7,50,0,39.8,25.3,,
Rahuri,rhr2002,130,5/10/2002,,26.45,13,49,0,39.2,24.7,,
Rahuri,rhr2002,131,5/11/2002,,26.48,15.5,46,0,39.2,24.3,,
Rahuri,rhr2002,132,5/12/2002,,27.02,15,57,0,37,23.5,,
Rahuri,rhr2002,133,5/13/2002,,25.3,12.7,53,0,37.7,22.2,,
Rahuri,rhr2002,134,5/14/2002,,26.51,12.4,50,0,37.4,24.7,,
Rahuri,rhr2002,135,5/15/2002,,25.87,12.4,49.5,0,37.8,23.7,,
Rahuri,rhr2002,136,5/16/2002,,26,15.1,49,0,38.5,24.9,,
Rahuri,rhr2002,137,5/17/2002,,25.17,16.6,56.5,0,39,25,,
Rahuri,rhr2002,138,5/18/2002,,24.09,17.8,50,0,38.8,25.4,,
Rahuri,rhr2002,139,5/19/2002,,26.68,13.5,52,0,37.8,24.6,,
Rahuri,rhr2002,140,5/20/2002,,26.84,14.7,50.5,0,36.2,24.3,,
Rahuri,rhr2002,141,5/21/2002,,25.96,15.2,49.5,0,36.4,23,,
Rahuri,rhr2002,142,5/22/2002,,26.26,16.5,52,0,37,22.2,,
Rahuri,rhr2002,143,5/23/2002,,25.34,16.6,47.5,0,38.4,22.9,,
Rahuri,rhr2002,144,5/24/2002,,26.16,18.6,53,0,38.6,24.1,,
Rahuri,rhr2002,145,5/25/2002,,26.11,18.9,48,7.8,39.8,23.2,,
Rahuri,rhr2002,146,5/26/2002,,27.4,14.8,46.5,0,38,22.8,,
Rahuri,rhr2002,147,5/27/2002,,27.43,13.9,46,0,37.5,20.6,,
Rahuri,rhr2002,148,5/28/2002,,26.31,16.3,48,0,37.7,21.5,,
Rahuri,rhr2002,149,5/29/2002,,27.55,14.9,35,0,37.2,22.4,,
Rahuri,rhr2002,150,5/30/2002,,24.36,17,49.5,0,38.2,23.54,,
Rahuri,rhr2002,151,5/31/2002,,24.19,18,48,0,38.3,24.5,,
Rahuri,rhr2002,152,6/1/2002,,25.47,17.9,53,0,38.5,24.2,,
Rahuri,rhr2002,153,6/2/2002,,9.65,17.8,45.5,0,37.5,25.4,,
Rahuri,rhr2002,154,6/3/2002,,15.21,16.9,57.5,0,31.8,22.8,,
Rahuri,rhr2002,155,6/4/2002,,19.2,18,50.5,0,34.7,25.3,,
Rahuri,rhr2002,156,6/5/2002,,25.93,16.9,53.5,0,35.2,22.3,,
Rahuri,rhr2002,157,6/6/2002,,26.73,18.6,51,1.08,38.4,22.03,,
Rahuri,rhr2002,158,6/7/2002,,25.57,18.8,48.5,0,38,22.3,,
Rahuri,rhr2002,159,6/8/2002,,25.32,18.3,47.5,0,38.2,22.4,,
Rahuri,rhr2002,160,6/9/2002,,23.06,16.6,49,0.4,38.4,24.7,,
Rahuri,rhr2002,161,6/10/2002,,16.64,20.3,51.5,0,38,24.4,,
Rahuri,rhr2002,162,6/11/2002,,23.06,18.8,49.5,1.6,38,23.9,,
Rahuri,rhr2002,163,6/12/2002,,18.84,19.6,58.5,50.2,36.6,20.9,,
Rahuri,rhr2002,164,6/13/2002,,23.07,20.6,76,0,30.5,23.5,,
Rahuri,rhr2002,165,6/14/2002,,19.88,19.2,56,38.6,36.8,21.1,,
Rahuri,rhr2002,166,6/15/2002,,21.63,20.3,69,0,32.5,24.5,,
Rahuri,rhr2002,167,6/16/2002,,16.86,21.5,60,0,34,23.9,,
Rahuri,rhr2002,168,6/17/2002,,16.37,18.9,60.5,0,32.2,23.5,,
Rahuri,rhr2002,169,6/18/2002,,18.33,20.6,69.5,0,32.4,22.7,,
Rahuri,rhr2002,170,6/19/2002,,18.09,19.4,61,0,32.2,23.5,,
Rahuri,rhr2002,171,6/20/2002,,17.96,22.3,62.5,0,33.5,23.3,,
Rahuri,rhr2002,172,6/21/2002,,16.01,21.5,64,0,34.2,24.9,,
Rahuri,rhr2002,173,6/22/2002,,17.33,21.1,60,0,32,24.2,,
Rahuri,rhr2002,174,6/23/2002,,14.59,21.6,65.5,0,33,23.3,,
Rahuri,rhr2002,175,6/24/2002,,9.85,20.6,68,23.36,28.69,23.02,,
Rahuri,rhr2002,176,6/25/2002,,3.03,21.1,73.5,15.4,27.9,21.6,,
Rahuri,rhr2002,177,6/26/2002,,5.54,20.5,92,51,23.3,20.6,,
Rahuri,rhr2002,178,6/27/2002,,12.33,21,74,8.8,25.7,20.5,,
Rahuri,rhr2002,179,6/28/2002,,15.03,21,78,0.2,28.2,23.3,,
Rahuri,rhr2002,180,6/29/2002,,12.7,19.9,72,0.6,30.2,23.5,,
Rahuri,rhr2002,181,6/30/2002,,8.27,18.5,74,0.8,29.1,23.5,,
Rahuri,rhr2002,182,7/1/2002,,16.32,20,78.5,0,27.8,23,,
Rahuri,rhr2002,183,7/2/2002,,17.87,22.6,66.5,0,31.6,23.3,,
Rahuri,rhr2002,184,7/3/2002,,14.79,21.9,66,0,32.6,23.5,,
Rahuri,rhr2002,185,7/4/2002,,16.72,20,64,0.26,31.74,22.38,,
Rahuri,rhr2002,186,7/5/2002,,15.51,17.9,62,0,31.8,23.7,,
Rahuri,rhr2002,187,7/6/2002,,16.11,55,59.5,0,32.1,23.3,,
Rahuri,rhr2002,188,7/7/2002,,18.8,18.3,59.5,0,32.3,22.9,,
Rahuri,rhr2002,189,7/8/2002,,18.74,18.9,56.5,0,32.2,21.9,,
Rahuri,rhr2002,190,7/9/2002,,19.66,20.8,58,0,32.2,22.5,,
Rahuri,rhr2002,191,7/10/2002,,19.69,18.6,60,0,32.7,21.2,,
Rahuri,rhr2002,192,7/11/2002,,19.03,20.5,62.5,0,33.4,22.4,,
Rahuri,rhr2002,193,7/12/2002,,17.93,16.5,57,0.6,33,21.9,,
Rahuri,rhr2002,194,7/13/2002,,19.57,21.4,63,0,31.7,22.5,,
Rahuri,rhr2002,195,7/14/2002,,19.27,20.3,58.5,0,33,22.4,,
Rahuri,rhr2002,196,7/15/2002,,19.91,21.2,58,0,32.7,21.3,,
Rahuri,rhr2002,197,7/16/2002,,20.51,20.5,62.5,0,33,21.8,,
Rahuri,rhr2002,198,7/17/2002,,15.31,17.4,62,0,33.2,22.36,,
Rahuri,rhr2002,199,7/18/2002,,10.07,17.5,64,0,31.5,23.3,,
Rahuri,rhr2002,200,7/19/2002,,7.84,21.5,76,13,27.2,21.6,,
Rahuri,rhr2002,201,7/20/2002,,15.39,20.4,84.5,0,25.8,22.2,,
Rahuri,rhr2002,202,7/21/2002,,16.42,21.2,69.5,0,29,21.1,,
Rahuri,rhr2002,203,7/22/2002,,13.29,21.1,41,0,26.7,22.4,,
Rahuri,rhr2002,204,7/23/2002,,14.38,20.8,66.5,0,30.1,23.1,,
Rahuri,rhr2002,205,7/24/2002,,15.18,18.9,74,0,31,21.5,,
Rahuri,rhr2002,206,7/25/2002,,14.31,17.8,72,0.6,30,22.5,,
Rahuri,rhr2002,207,7/26/2002,,13.68,18.1,70,0,29.5,22.5,,
Rahuri,rhr2002,208,7/27/2002,,17.14,18.7,68,0,29.5,22.4,,
Rahuri,rhr2002,209,7/28/2002,,16.61,17.5,67,0,30,22.4,,
Rahuri,rhr2002,210,7/29/2002,,15.84,17.9,68,0,31.45,21.84,,
Rahuri,rhr2002,211,7/30/2002,,16.75,18.2,67.5,0,31.4,21.1,,
Rahuri,rhr2002,212,7/31/2002,,19.28,18.6,61.5,0,31.6,21.7,,
Rahuri,rhr2002,213,8/1/2002,,10.25,19.8,62.5,0.6,33.7,22.8,,
Rahuri,rhr2002,214,8/2/2002,,14.33,18.4,79,0,28.2,23.9,,
Rahuri,rhr2002,215,8/3/2002,,9.11,17.2,42,60,27.2,22.4,,
Rahuri,rhr2002,216,8/4/2002,,14.51,16.9,86.5,3.6,27.6,22.5,,
Rahuri,rhr2002,217,8/5/2002,,9.65,17.2,78,11.4,28.9,21.5,,
Rahuri,rhr2002,218,8/6/2002,,11.34,18.1,78,0.2,26.6,22.2,,
Rahuri,rhr2002,219,8/7/2002,,12.15,16.3,81,1.8,27.9,22.2,,
Rahuri,rhr2002,220,8/8/2002,,12.39,18,76,0,27.5,21.6,,
Rahuri,rhr2002,221,8/9/2002,,12.1,17.3,74,0,27.4,21.7,,
Rahuri,rhr2002,222,8/10/2002,,12.63,18.8,86,0.4,27.8,22.4,,
Rahuri,rhr2002,223,8/11/2002,,13.75,17.6,74.5,0,28,22.4,,
Rahuri,rhr2002,224,8/12/2002,,12.79,17.8,68.5,0.4,28.7,22.3,,
Rahuri,rhr2002,225,8/13/2002,,9.89,18,74.5,0.8,28.6,22.8,,
Rahuri,rhr2002,226,8/14/2002,,8.09,18.2,70.5,0,28.8,23.3,,
Rahuri,rhr2002,227,8/15/2002,,13.72,19.3,66,0.2,27.8,23.5,,
Rahuri,rhr2002,228,8/16/2002,,14.95,17.7,67,0,29.5,21.5,,
Rahuri,rhr2002,229,8/17/2002,,14.4,17.6,66.5,0,30.7,20.9,,
Rahuri,rhr2002,230,8/18/2002,,13.03,16.9,73,0,29.5,22.1,,
Rahuri,rhr2002,231,8/19/2002,,10.19,17.8,67.5,0,29.2,22,,
Rahuri,rhr2002,232,8/20/2002,,16.11,17.7,70,0,28.5,22,,
Rahuri,rhr2002,233,8/21/2002,,14.38,17.6,65,0,30.7,21.3,,
Rahuri,rhr2002,234,8/22/2002,,16.43,15.7,62,0,30.8,21.2,,
Rahuri,rhr2002,235,8/23/2002,,13.47,16.5,63.5,0,31.4,20.4,,
Rahuri,rhr2002,236,8/24/2002,,5.37,15.3,67,0.8,29.8,22.4,,
Rahuri,rhr2002,237,8/25/2002,,9.75,16.5,76,32.2,26.8,20.9,,
Rahuri,rhr2002,238,8/26/2002,,19.17,17.6,81.5,1,26.9,20.6,,
Rahuri,rhr2002,239,8/27/2002,,20.9,17,70,0,30,19.2,,
Rahuri,rhr2002,240,8/28/2002,,20.55,16.5,66.5,0,31.4,18.7,,
Rahuri,rhr2002,241,8/29/2002,,17.16,16.9,67,0.72,26.75,20.43,,
Rahuri,rhr2002,242,8/30/2002,,12.05,16,69.5,0,30.7,22.1,,
Rahuri,rhr2002,243,8/31/2002,,10.72,16.4,69,5.4,27.8,21.4,,
Rahuri,rhr2002,244,9/1/2002,,10.96,16.2,77.5,1.2,27.6,21.4,,
Rahuri,rhr2002,245,9/2/2002,,10.86,17.3,75,0.2,27.1,21.5,,
Rahuri,rhr2002,246,9/3/2002,,12.57,16.4,78.5,3.6,27.3,22.4,,
Rahuri,rhr2002,247,9/4/2002,,12.11,16,74,1,29.3,22.1,,
Rahuri,rhr2002,248,9/5/2002,,10.16,15.3,76,14,28.5,21.5,,
Rahuri,rhr2002,249,9/6/2002,,18.39,15.5,83,9.8,26.4,20.4,,
Rahuri,rhr2002,250,9/7/2002,,19.99,15.8,72.5,0,30.3,19.4,,
Rahuri,rhr2002,251,9/8/2002,,22.47,16.5,69.5,0,30.8,17.8,,
Rahuri,rhr2002,252,9/9/2002,,23.04,17.2,67.5,0,31,17.3,,
Rahuri,rhr2002,253,9/10/2002,,22.36,18.6,60.5,0,30.8,16.8,,
Rahuri,rhr2002,254,9/11/2002,,22.12,15.2,56.5,0,31.2,16.9,,
Rahuri,rhr2002,255,9/12/2002,,22.68,16.4,65.5,0,31.7,18.9,,
Rahuri,rhr2002,256,9/13/2002,,22.92,64,67.5,0,32.7,20.9,,
Rahuri,rhr2002,257,9/14/2002,,21.75,16.7,62.5,0,32.2,21.3,,
Rahuri,rhr2002,258,9/15/2002,,18.42,17.1,61,0,32.9,23,,
Rahuri,rhr2002,259,9/16/2002,,21.93,16.8,63,0,32.6,20.2,,
Rahuri,rhr2002,260,9/17/2002,,18.97,93,67.5,0,31.4,18.1,,
Rahuri,rhr2002,261,9/18/2002,,19.08,20.1,60.5,0,31.5,19.4,,
Rahuri,rhr2002,262,9/19/2002,,16.77,18.5,63,0.79,30.15,19.73,,
Rahuri,rhr2002,263,9/20/2002,,20.6,18.7,64.5,0,31.1,19.5,,
Rahuri,rhr2002,264,9/21/2002,,20.32,18,61,0,32.7,20.5,,
Rahuri,rhr2002,265,9/22/2002,,20.15,16.5,62,4.6,33.9,20.5,,
Rahuri,rhr2002,266,9/23/2002,,20.67,16.6,70,0,32.2,20.7,,
Rahuri,rhr2002,267,9/24/2002,,19.84,16.6,65.5,0,33,23,,
Rahuri,rhr2002,268,9/25/2002,,19.7,16.5,67.5,4.2,33.2,20.7,,
Rahuri,rhr2002,269,9/26/2002,,19.37,20,66,1.08,30.74,20.22,,
Rahuri,rhr2002,270,9/27/2002,,15.44,19.5,66,0,32.8,21.9,,
Rahuri,rhr2002,271,9/28/2002,,18.35,18.5,65,0,31.4,21,,
Rahuri,rhr2002,272,9/29/2002,,20.54,19.3,62.5,25,33.7,21,,
Rahuri,rhr2002,273,9/30/2002,,21.47,19.8,63,0,33.7,20.2,,
Rahuri,rhr2002,274,10/1/2002,,22.11,20.8,53,0,34.6,19.1,,
Rahuri,rhr2002,275,10/2/2002,,22.6,19.1,56,0,34.8,18.1,,
Rahuri,rhr2002,276,10/3/2002,,22.35,19.2,54,0.01,35.2,21.34,,
Rahuri,rhr2002,277,10/4/2002,,22.72,19.5,50.5,0,35.8,19.5,,
Rahuri,rhr2002,278,10/5/2002,,22.75,18.8,44.5,0,36.2,18.9,,
Rahuri,rhr2002,279,10/6/2002,,21.92,16.1,44.5,0,35.8,19.5,,
Rahuri,rhr2002,280,10/7/2002,,22.22,19.8,40.5,0,35.6,19.7,,
Rahuri,rhr2002,281,10/8/2002,,22.34,21.1,50,0,35.5,17.4,,
Rahuri,rhr2002,282,10/9/2002,,21.59,21.3,47,0,35,17,,
Rahuri,rhr2002,283,10/10/2002,,20.75,20.6,48,1.08,33.28,21.21,,
Rahuri,rhr2002,284,10/11/2002,,15.19,20.9,45,0,34.5,23.7,,
Rahuri,rhr2002,285,10/12/2002,,10.52,17.8,58.5,0,32.5,23,,
Rahuri,rhr2002,286,10/13/2002,,19.66,19.4,60,0,30.5,20,,
Rahuri,rhr2002,287,10/14/2002,,21.04,19.8,56,0.01,34.26,19.21,,
Rahuri,rhr2002,288,10/15/2002,,21.42,19.2,46,0,34.8,16.3,,
Rahuri,rhr2002,289,10/16/2002,,8.27,18.1,42,0,33.8,15,,
Rahuri,rhr2002,290,10/17/2002,,17.47,18.7,62,1.84,32.41,20.4,,
Rahuri,rhr2002,291,10/18/2002,,20.56,18.2,65,0,32.2,18.7,,
Rahuri,rhr2002,292,10/19/2002,,19.87,16,53.5,0,34.4,19,,
Rahuri,rhr2002,293,10/20/2002,,18.57,14.8,55,0,33.77,18.95,,
Rahuri,rhr2002,294,10/21/2002,,16.03,15.6,56.5,0,34,20.3,,
Rahuri,rhr2002,295,10/22/2002,,18.01,10,51,0,34.2,21.6,,
Rahuri,rhr2002,296,10/23/2002,,21.73,10.7,48,0,33.9,18.98,,
Rahuri,rhr2002,297,10/24/2002,,21.77,11.1,40,0,33.62,16.63,,
Rahuri,rhr2002,298,10/25/2002,,19.08,10.2,37,0,34.1,14.9,,
Rahuri,rhr2002,299,10/26/2002,,19.81,10.6,39.5,0,32,14.7,,
Rahuri,rhr2002,300,10/27/2002,,21.1,11.2,45,0,31.5,11.7,,
Rahuri,rhr2002,301,10/28/2002,,21.23,11.5,42,0,33.24,14.67,,
Rahuri,rhr2002,302,10/29/2002,,21.19,14.2,35,0,32,11.6,,
Rahuri,rhr2002,303,10/30/2002,,20.39,17.6,39.5,0,32.9,11.7,,
Rahuri,rhr2002,304,10/31/2002,,20.89,18,38,0,33.57,14.89,,
Rahuri,rhr2002,305,11/1/2002,,20.77,10.4,37.5,0,32.8,11.9,,
Rahuri,rhr2002,306,11/2/2002,,20.69,24.3,36.5,0,32.2,13.5,,
Rahuri,rhr2002,307,11/3/2002,,20.01,25.2,40,0,31,13.9,,
Rahuri,rhr2002,308,11/4/2002,,19.86,9.1,33,0,31.7,13.4,,
Rahuri,rhr2002,309,11/5/2002,,18.87,9.9,37,0,32.2,13.3,,
Rahuri,rhr2002,310,11/6/2002,,17.66,9.1,49.5,0,31.7,12.5,,
Rahuri,rhr2002,311,11/7/2002,,18.96,9.7,46,0,32.38,15.85,,
Rahuri,rhr2002,312,11/8/2002,,18.77,8.4,43.5,0,31.2,11.9,,
